muon2: pt=225.137, eta=0.355112, phi=-2.10496, m=0.1
muon1: pt=310.482, eta=-0.127393, phi=0.433131, m=0.1
muon2: pt=235.811, eta=0.101297, phi=-2.39604, m=0.1
muon1: pt=241.145, eta=0.118682, phi=0.428551, m=0.1
muon2: pt=220.126, eta=-0.0512205, phi=-2.75304, m=0.1
muon1: pt=258.284, eta=0.104821, phi=-2.21659, m=0.1
muon2: pt=193.686, eta=-0.627546, phi=0.932448, m=0.1
muon1: pt=255, eta=-0.281254, phi=-1.15874, m=0.1
muon2: pt=203.506, eta=0.200491, phi=2.02687, m=0.1
muon1: pt=255.921, eta=-0.307463, phi=1.90301, m=0.1
muon2: pt=178.186, eta=0.928513, phi=-1.15163, m=0.1
muon1: pt=230.228, eta=-0.151049, phi=2.1517, m=0.1
muon2: pt=253.526, eta=0.174222, phi=-0.948864, m=0.1
muon1: pt=285.323, eta=0.0199685, phi=1.1208, m=0.1
muon2: pt=261.952, eta=-0.477602, phi=-2.02133, m=0.1
muon1: pt=223.533, eta=0.532855, phi=2.83822, m=0.1
muon2: pt=208.851, eta=-0.697446, phi=-0.278795, m=0.1
muon1: pt=221.391, eta=-0.462465, phi=-0.413637, m=0.1
muon2: pt=213.299, eta=-0.134878, phi=2.77707, m=0.1
muon1: pt=321.309, eta=0.441535, phi=-2.92557, m=0.1
muon2: pt=237.874, eta=0.205917, phi=0.222945, m=0.1
muon1: pt=196.22, eta=0.421943, phi=2.19186, m=0.1
muon2: pt=209.937, eta=-0.610771, phi=-1.03101, m=0.1
muon1: pt=263.079, eta=0.223331, phi=-2.97389, m=0.1
muon2: pt=232.965, eta=0.21351, phi=0.0316774, m=0.1
muon1: pt=214.424, eta=-0.79131, phi=2.02384, m=0.1
muon2: pt=240.574, eta=-0.333426, phi=-1.16082, m=0.1
muon1: pt=262.597, eta=0.41708, phi=-1.35188, m=0.1
muon2: pt=244.352, eta=-0.21439, phi=1.79467, m=0.1
muon1: pt=261.949, eta=0.395806, phi=-2.7899, m=0.1
muon2: pt=221.334, eta=-0.90655, phi=0.340378, m=0.1
muon1: pt=212.982, eta=0.444382, phi=1.43135, m=0.1
muon2: pt=217.498, eta=-0.0168898, phi=-1.70457, m=0.1
muon1: pt=307.34, eta=0.208907, phi=-2.69949, m=0.1
muon2: pt=244.225, eta=-0.337399, phi=0.323752, m=0.1
muon1: pt=222.426, eta=-0.0878731, phi=-3.03981, m=0.1
muon2: pt=202.627, eta=0.0517853, phi=0.187866, m=0.1
muon1: pt=304.696, eta=0.147634, phi=1.00657, m=0.1
muon2: pt=255.152, eta=0.0823065, phi=-2.16597, m=0.1
muon1: pt=292.173, eta=0.589584, phi=-1.29046, m=0.1
muon2: pt=220.22, eta=0.205649, phi=1.97553, m=0.1
muon1: pt=242.534, eta=-0.0106635, phi=1.07797, m=0.1
muon2: pt=178.803, eta=0.478339, phi=-1.95824, m=0.1
muon1: pt=227.236, eta=-0.208598, phi=-0.194544, m=0.1
muon2: pt=206.451, eta=0.562603, phi=2.94045, m=0.1
muon1: pt=211.59, eta=-0.915022, phi=-0.141929, m=0.1
muon2: pt=180.828, eta=0.43281, phi=3.03134, m=0.1
muon1: pt=279.543, eta=0.110165, phi=-2.77321, m=0.1
muon2: pt=212.524, eta=-0.124168, phi=0.709257, m=0.1
muon1: pt=256.912, eta=0.74198, phi=1.98929, m=0.1
muon2: pt=215.371, eta=0.377122, phi=-1.13418, m=0.1
muon1: pt=237.048, eta=-0.863794, phi=2.68542, m=0.1
muon2: pt=226.132, eta=0.195574, phi=-0.58109, m=0.1
muon1: pt=247.733, eta=-0.0105277, phi=0.516114, m=0.1
muon2: pt=244.254, eta=-0.331997, phi=-2.92638, m=0.1
muon1: pt=266.374, eta=-0.181272, phi=3.05191, m=0.1
muon2: pt=215.593, eta=-0.479314, phi=-0.0831049, m=0.1
muon1: pt=205.115, eta=0.882673, phi=1.71549, m=0.1
muon2: pt=195.294, eta=-0.110168, phi=-1.4484, m=0.1
muon1: pt=286.304, eta=-0.227877, phi=0.518692, m=0.1
muon2: pt=258.483, eta=-0.131382, phi=-2.64354, m=0.1
muon1: pt=287.743, eta=0.653791, phi=2.15631, m=0.1
muon2: pt=259.251, eta=0.30454, phi=-0.987032, m=0.1
muon1: pt=196.549, eta=-0.582874, phi=-1.50651, m=0.1
muon2: pt=172.219, eta=0.709496, phi=1.55192, m=0.1
muon1: pt=270.066, eta=0.195911, phi=0.354821, m=0.1
muon2: pt=245.467, eta=0.0503292, phi=-2.80833, m=0.1
muon1: pt=265.165, eta=0.244433, phi=0.650468, m=0.1
muon2: pt=230.437, eta=-0.00671936, phi=-2.40986, m=0.1
muon1: pt=250.937, eta=0.183641, phi=-0.102362, m=0.1
muon2: pt=281.729, eta=0.0616484, phi=-3.13103, m=0.1
muon1: pt=278.896, eta=-0.197894, phi=0.740247, m=0.1
muon2: pt=202.746, eta=-1.00463, phi=-2.01875, m=0.1
muon1: pt=222.752, eta=-0.395721, phi=0.674173, m=0.1
muon2: pt=257.8, eta=0.00452687, phi=-2.31096, m=0.1
muon1: pt=247.087, eta=-0.341448, phi=-2.12942, m=0.1
muon2: pt=210.871, eta=-0.814713, phi=1.01636, m=0.1
muon1: pt=288.002, eta=0.823829, phi=-1.9686, m=0.1
muon2: pt=208.608, eta=0.0202399, phi=1.17371, m=0.1
muon1: pt=259.584, eta=0.621835, phi=0.229563, m=0.1
muon2: pt=247.339, eta=0.188408, phi=-2.80257, m=0.1
muon1: pt=256.546, eta=-0.0690613, phi=2.90026, m=0.1
muon2: pt=228.902, eta=-0.213674, phi=-0.348409, m=0.1
muon1: pt=243.918, eta=-0.215945, phi=-1.26405, m=0.1
muon2: pt=239.073, eta=-0.146478, phi=1.67125, m=0.1
muon1: pt=262.228, eta=-0.350038, phi=1.61372, m=0.1
muon2: pt=234.333, eta=-0.655392, phi=-1.53773, m=0.1
muon1: pt=245.73, eta=-0.172527, phi=-0.95387, m=0.1
muon2: pt=221.544, eta=0.738388, phi=2.18897, m=0.1
muon1: pt=262.184, eta=0.472801, phi=1.28138, m=0.1
muon2: pt=283.527, eta=0.366718, phi=-1.882, m=0.1
